"state","year","asthma_rate"
"AL",2016,"9.1"
"AK",2016,"Suppressed"
"AZ",2016,"14.2"
"AR",2016,"14.3"
"CA",2016,"9.3"
"CO",2016,"8.3"
"CT",2016,"11.1"
"DE",2016,"Unreliable"
"DC",2016,"Unreliable"
"FL",2016,"7.5"
"GA",2016,"9.2"
"HI",2016,"Unreliable"
"ID",2016,"11.3"
"IL",2016,"10.5"
"IN",2016,"7.8"
"IA",2016,"9.3"
"KS",2016,"12.6"
"KY",2016,"10.2"
"LA",2016,"8.6"
"ME",2016,"Suppressed"
"MD",2016,"12.1"
"MA",2016,"10.9"
"MI",2016,"8.6"
"MN",2016,"12.3"
"MS",2016,"21.0"
"MO",2016,"11.7"
"MT",2016,"Unreliable"
"NE",2016,"12.9"
"NV",2016,"12.4"
"NH",2016,"Unreliable"
"NJ",2016,"10.3"
"NM",2016,"12.8"
"NY",2016,"12.5"
"NC",2016,"9.9"
"ND",2016,"Unreliable"
"OH",2016,"10.0"
"OK",2016,"10.8"
"OR",2016,"16.0"
"PA",2016,"8.2"
"RI",2016,"Suppressed"
"SC",2016,"11.0"
"SD",2016,"Unreliable"
"TN",2016,"11.4"
"TX",2016,"7.2"
"UT",2016,"14.5"
"VT",2016,"Unreliable"
"VA",2016,"9.2"
"WA",2016,"9.8"
"WV",2016,"12.6"
"WI",2016,"10.0"
"WY",2016,"Suppressed"
NA,2016,"10.0"
"AL",2017,"13.7"
"AK",2017,"Suppressed"
"AZ",2017,"11.7"
"AR",2017,"9.4"
"CA",2017,"9.3"
"CO",2017,"7.7"
"CT",2017,"9.0"
"DE",2017,"Unreliable"
"DC",2017,"Suppressed"
"FL",2017,"7.0"
"GA",2017,"10.1"
"HI",2017,"13.4"
"ID",2017,"13.8"
"IL",2017,"10.9"
"IN",2017,"11.0"
"IA",2017,"8.8"
"KS",2017,"12.2"
"KY",2017,"6.6"
"LA",2017,"8.2"
"ME",2017,"Unreliable"
"MD",2017,"10.0"
"MA",2017,"8.9"
"MI",2017,"10.3"
"MN",2017,"8.0"
"MS",2017,"14.3"
"MO",2017,"10.1"
"MT",2017,"Unreliable"
"NE",2017,"10.9"
"NV",2017,"9.5"
"NH",2017,"Unreliable"
"NJ",2017,"11.0"
"NM",2017,"18.2"
"NY",2017,"11.6"
"NC",2017,"10.9"
"ND",2017,"Unreliable"
"OH",2017,"10.5"
"OK",2017,"13.4"
"OR",2017,"12.8"
"PA",2017,"8.7"
"RI",2017,"Suppressed"
"SC",2017,"12.4"
"SD",2017,"Unreliable"
"TN",2017,"10.2"
"TX",2017,"8.3"
"UT",2017,"11.5"
"VT",2017,"Unreliable"
"VA",2017,"7.5"
"WA",2017,"13.0"
"WV",2017,"10.6"
"WI",2017,"8.7"
"WY",2017,"Suppressed"
NA,2017,"9.9"
"AL",2018,"11.0"
"AK",2018,"Unreliable"
"AZ",2018,"11.4"
"AR",2018,"9.5"
"CA",2018,"8.9"
"CO",2018,"7.7"
"CT",2018,"9.7"
"DE",2018,"Unreliable"
"DC",2018,"Unreliable"
"FL",2018,"8.1"
"GA",2018,"9.2"
"HI",2018,"20.6"
"ID",2018,"Unreliable"
"IL",2018,"9.9"
"IN",2018,"9.9"
"IA",2018,"11.5"
"KS",2018,"8.8"
